ID,Joke,Rating,rating_category
1,Why don't scientists trust atoms? Because they make up everything.,1,bad
2,How do you organize a space party? You planet.,-5,abysmal
3,Why couldn't the bicycle stand up by itself? It was two-tired.,0,bad
4,Why did the scarecrow win an award? Because he was outstanding in his field.,-4,abysmal
5,What do you call fake spaghetti? An impasta.,-5,abysmal
6,Why don't oysters donate to charity? Because they're shellfish.,0,bad
7,Did you hear about the kidnapping at the playground? They woke up.,-5,abysmal
8,Why did the tomato turn red? Because it saw the salad dressing.,-5,abysmal
9,Why did the golfer bring two pairs of pants? In case he got a hole in one.,2,bad
10,What do you call cheese that isn't yours? Nacho cheese.,1,bad
11,Why did the invisible man turn down the job offer? He couldn't see himself doing it.,-4,abysmal
12,How does a train eat? It goes chew chew.,-3,abysmal
13,What do you call a dinosaur with an extensive vocabulary? A thesaurus.,-2,awful
14,What do you get when you cross a snowman and a vampire? Frostbite.,-4,abysmal
15,Why don't some couples go to the gym? Because some relationships don't work out.,0,bad
16,What do you call a fake noodle? An impasta.,-1,awful
17,What do you call a pile of cats? A meowtain.,-2,awful
18,Why did the coffee file a police report? It got mugged.,2,bad
19,Why did the chicken go to the séance? To get to the other side.,-3,abysmal
20,How do you catch a squirrel? Climb a tree and act like a nut.,0,bad
